Date,Value
2022-03-27,851400947206.25
2022-03-26,842737854900.0
2022-03-25,846371823480.1797
2022-03-24,837655143400.0
2022-03-23,800753371550.0
2022-03-22,807553310053.0527
2022-03-21,781591027206.0796
2022-03-20,783070959375.0
2022-03-19,798526083075.0
2022-03-18,788478080331.25
2022-03-17,777234100612.9532
2022-03-16,754699670400.0
2022-03-15,745075603069.4044
2022-03-14,744212028983.5111
2022-03-13,718244399718.75
2022-03-12,740943584406.25
2022-03-11,734985289762.5
2022-03-10,745475558498.9568
2022-03-09,794608323525.0
2022-03-08,731772702000.0
2022-03-07,718073067937.5
2022-03-06,740785819962.5
2022-03-05,750720041168.75
2022-03-04,775465775325.0
2022-03-03,799493743475.0
2022-03-02,836603962437.5
2022-03-01,833431723125.0
2022-02-28,791749728968.75
2022-02-27,717193827831.25
2022-02-26,743476620137.5
2022-02-25,733596585312.5
2022-02-24,727969771500.0
2022-02-23,713182093200.0
2022-02-22,720048681462.5
2022-02-21,724111607225.0
2022-02-20,726036500718.75
2022-02-19,758577139018.75
2022-02-18,760196512501.5725
2022-02-17,770097791925.0
2022-02-16,839732449893.75
2022-02-15,834231459375.0
2022-02-14,797866513939.1022
2022-02-13,801137875125.0
2022-02-12,795386342725.0
2022-02-11,805012351840.5319
2022-02-10,847136221425.0
2022-02-09,834358045537.5
2022-02-08,813666315075.0
2022-02-07,831280424059.0938
2022-02-06,787262698650.0
2022-02-05,786676289025.0
2022-02-04,770333442918.75
2022-02-03,697285940000.0
2022-02-02,701801658923.6871
2022-02-01,734659790000.0
2022-01-31,732023582800.0
2022-01-30,714791863856.25
2022-01-29,723924897125.0
2022-01-28,718660693093.75
2022-01-27,674827815094.0549
2022-01-26,714631431937.5
2022-01-25,700402355625.0
2022-01-24,705494127993.75
2022-01-23,659610322312.5
2022-01-22,654826197018.75
2022-01-21,726605726575.0
2022-01-20,816212841656.25
2022-01-19,795546174800.0
2022-01-18,802756431618.75
2022-01-17,816035059568.25
2022-01-16,816825566371.0625
2022-01-15,815885350766.3125
2022-01-14,805378847251.25
2022-01-13,831443956725.0
2022-01-12,808635370790.375
2022-01-11,792049344262.5
2022-01-10,792304935914.5
2022-01-09,788978180806.8125
2022-01-08,785865208749.0
2022-01-07,815963326867.9375
2022-01-06,821892421838.4375
2022-01-05,867766565133.0
2022-01-04,878682160537.5625
2022-01-03,895399226321.0625
2022-01-02,903598319251.6875
2022-01-01,874908996774.75
2021-12-31,891574141304.0
2021-12-30,877837988766.4375
2021-12-29,900355817317.25
2021-12-28,958773885280.0
2021-12-27,960784883069.25
2021-12-26,954498216489.5625
2021-12-25,960961587306.5
2021-12-24,960360254595.0625
2021-12-23,919516509421.875
2021-12-22,925261272222.3125
2021-12-21,886943021384.0625
2021-12-20,882714822880.0
2021-12-19,885974962328.3125
2021-12-18,872882502444.0
2021-12-17,900910782059.75
2021-12-16,924050534936.3751
2021-12-15,914717794485.5625
2021-12-14,883753712467.3124
2021-12-13,919173426600.0
2021-12-12,955448108093.75
2021-12-11,915234917165.625
2021-12-10,912651140375.0
2021-12-09,905713922918.793
2021-12-08,950444609540.625
2021-12-07,965857501553.3264
2021-12-06,933024070781.25
2021-12-05,931036980412.5
2021-12-04,931814605625.0
2021-12-03,1012461333468.75
2021-12-02,1074828081412.5
2021-12-01,1078869059150.0
2021-11-30,1082888272921.875
2021-11-29,1097001646209.375
2021-11-28,1022699812512.7386
2021-11-27,1037967323512.5
2021-11-26,1023871790711.2388
2021-11-25,1109613496612.4998
2021-11-24,1075844873228.125
2021-11-23,1080024314453.6962
2021-11-22,1060019808028.125
2021-11-21,1120533321293.75
2021-11-20,1125264787353.125
2021-11-19,1094490168356.25
2021-11-18,1081657113750.0
2021-11-17,1134498874950.0
2021-11-16,1134293828446.875
2021-11-15,1206006253355.2808
2021-11-14,1208793916000.0
2021-11-13,1214411435756.25
2021-11-12,1210384892362.5
2021-11-11,1228813770362.4998
2021-11-10,1261425239375.0
2021-11-09,1270816377145.1025
2021-11-08,1277657992875.0
2021-11-07,1176605997000.0002
2021-11-06,1155711389459.3755
2021-11-05,1155683404662.5
2021-11-04,1156371482615.625
2021-11-03,1187745353853.125
2021-11-02,1191823763000.0
2021-11-01,1146585100100.2058
2021-10-31,1148932809256.25
2021-10-30,1162356577153.1248
2021-10-29,1176700955118.75
2021-10-28,1145643937875.0002
2021-10-27,1108531020553.1248
2021-10-26,1139521944093.75
2021-10-25,1188214896834.3752
2021-10-24,1147373751037.5
2021-10-23,1150231185256.25
2021-10-22,1145043082071.875
2021-10-21,1182778570824.9998
2021-10-20,1256966404062.5
2021-10-19,1214979950250.0002
2021-10-18,1163930836218.75
2021-10-17,1151718656309.3752
2021-10-16,1146486441684.375
2021-10-15,1170129390237.5
2021-10-14,1073257338956.25
2021-10-13,1081834594325.0
2021-10-12,1060402310925.0
2021-10-11,1073809741877.2502
2021-10-10,1044695391009.375
2021-10-09,1031635618750.0
2021-10-08,1023431631406.25
2021-10-07,1017866692139.5015
2021-10-06,1028864851678.1249
2021-10-05,969777660156.25
2021-10-04,919196269493.75
2021-10-03,916519842887.5
2021-10-02,904656283725.0001
